games,discipline_raw,sport_canonical,tier,note
Rio 2016,Gymnastics - rhythmic,,exclude,Indoor
Rio 2016,Gymnastics - trampoline,,exclude,Indoor
Rio 2016,Handball,,exclude,Indoor
Rio 2016,Hockey,Hockey,strict,
Rio 2016,Judo,,exclude,Indoor
Rio 2016,Marathon swimming,Open Water Swimming,broad,
Rio 2016,Modern pentathlon,Modern Pentathlon,strict,
Rio 2016,Race walk,Athletics,strict,
Rio 2016,Rowing,Rowing,strict,
Rio 2016,Rugby,Rugby Sevens,strict,
Rio 2016,Sailing,Sailing,strict,
Rio 2016,Shooting - Rifle & Pistol,,exclude,Indoor
Rio 2016,Shooting - Shotgun,Shooting - Outdoor,strict,Trap/skeet; cleanly split from indoor shooting in this source
Rio 2016,Swimming,,exclude,Indoor
Rio 2016,Synchronised swimming,,exclude,Indoor
Rio 2016,Table tennis,,exclude,Indoor
Rio 2016,Taekwondo,,exclude,Indoor
Rio 2016,Tennis,Tennis,strict,
Rio 2016,Triathlon,Triathlon,strict,
Rio 2016,Volleyball,,exclude,Indoor
Rio 2016,Water polo,,exclude,Indoor
Rio 2016,Weightlifting,,exclude,Indoor
Rio 2016,Wrestling,,exclude,Indoor
